"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
3629,"Chaetura cinereiventris schistacea","Todd, 1937",,,,"Chaetura cinereiventris",2810,22221,"https://www.inaturalist.org/taxa/720836",
3632,"Chaetura cinereiventris sclateri","Pelzeln, 1868",,,,"Chaetura cinereiventris",2810,22222,"https://www.inaturalist.org/taxa/720837",
3625,"Chaetura spinicaudus aetherodroma","Wetmore, 1951",,,,"Chaetura spinicaudus",2807,19668,"https://www.inaturalist.org/taxa/718123",
3626,"Chaetura spinicaudus spinicaudus","(Temminck, 1839)",,,,"Chaetura spinicaudus",2807,22224,"https://www.inaturalist.org/taxa/720839",
3641,"Chaetura vauxi andrei","von Berlepsch & Hartert, 1902",,,,"Chaetura vauxi",2811,16083,"https://www.inaturalist.org/taxa/566920",
3640,"Chaetura vauxi aphanes","Wetmore & Phelps Jr, 1956",,,,"Chaetura vauxi",2811,16084,"https://www.inaturalist.org/taxa/566921",
3638,"Chaetura vauxi gaumeri","Lawrence, 1882",,,,"Chaetura vauxi",2811,16085,"https://www.inaturalist.org/taxa/566922",
3639,"Chaetura vauxi ochropygia","Aldrich, 1937",,,,"Chaetura vauxi",2811,16086,"https://www.inaturalist.org/taxa/566923",
3637,"Chaetura vauxi richmondi","Ridgway, 1910",,,,"Chaetura vauxi",2811,16087,"https://www.inaturalist.org/taxa/566924",
3635,"Chaetura vauxi tamaulipensis","Sutton, 1941",,,,"Chaetura vauxi",2811,16088,"https://www.inaturalist.org/taxa/566925",
3634,"Chaetura vauxi vauxi","(Townsend, JK, 1839)",,,,"Chaetura vauxi",2811,16089,"https://www.inaturalist.org/taxa/566926",
3636,"Chaetura vauxi warneri","Phillips, AR, 1966","SSP","Add: Bull & Collins, 2007",,"Chaetura vauxi",2811,,,
17487,"Chalcomitra adelberti adelberti","(Gervais, 1834)",,,,"Chalcomitra adelberti",9229,22225,"https://www.inaturalist.org/taxa/720840",
17488,"Chalcomitra adelberti eboensis","(Jardine, 1842)",,,,"Chalcomitra adelberti",9229,22226,"https://www.inaturalist.org/taxa/720841",
17498,"Chalcomitra amethystina adjuncta","(Clancey, 1975)",,,,"Chalcomitra amethystina",9232,,,
17499,"Chalcomitra amethystina amethystina","(Shaw, 1812)",,,,"Chalcomitra amethystina",9232,16468,"https://www.inaturalist.org/taxa/623573",
17497,"Chalcomitra amethystina deminuta","Cabanis, 1880",,,,"Chalcomitra amethystina",9232,16467,"https://www.inaturalist.org/taxa/623572",
17495,"Chalcomitra amethystina doggetti","(Sharpe, 1902)",,,,"Chalcomitra amethystina",9232,,,
17494,"Chalcomitra amethystina kalckreuthi","(Cabanis, 1878)",,,,"Chalcomitra amethystina",9232,,,
17496,"Chalcomitra amethystina kirkii","(Shelley, 1876)",,,,"Chalcomitra amethystina",9232,16466,"https://www.inaturalist.org/taxa/623571",
17489,"Chalcomitra fuliginosa aurea","(Lesson, R, 1847)",,,,"Chalcomitra fuliginosa",9230,22227,"https://www.inaturalist.org/taxa/720842",
17490,"Chalcomitra fuliginosa fuliginosa","(Bechstein, 1811)",,,,"Chalcomitra fuliginosa",9230,22228,"https://www.inaturalist.org/taxa/720843",
17491,"Chalcomitra rubescens crossensis","Serle, 1963",,,,"Chalcomitra rubescens",9231,22231,"https://www.inaturalist.org/taxa/720846",
17493,"Chalcomitra rubescens rubescens","(Vieillot, 1819)",,,,"Chalcomitra rubescens",9231,22232,"https://www.inaturalist.org/taxa/720847",
17492,"Chalcomitra rubescens stangerii","(Jardine, 1842)",,,,"Chalcomitra rubescens",9231,22233,"https://www.inaturalist.org/taxa/720848",
17501,"Chalcomitra senegalensis acik","(Hartmann, 1866)",,,,"Chalcomitra senegalensis",9233,22234,"https://www.inaturalist.org/taxa/720849",
17505,"Chalcomitra senegalensis gutturalis","(Linnaeus, 1766)",,,,"Chalcomitra senegalensis",9233,17808,"https://www.inaturalist.org/taxa/697951",
17503,"Chalcomitra senegalensis lamperti","(Reichenow, 1897)",,,,"Chalcomitra senegalensis",9233,15400,"https://www.inaturalist.org/taxa/516796",
17502,"Chalcomitra senegalensis proteus","(Rüppell, 1840)",,,,"Chalcomitra senegalensis",9233,22235,"https://www.inaturalist.org/taxa/720850",
17504,"Chalcomitra senegalensis saturatior","(Reichenow, 1891)",,,,"Chalcomitra senegalensis",9233,,,
17500,"Chalcomitra senegalensis senegalensis","(Linnaeus, 1766)",,,,"Chalcomitra senegalensis",9233,22236,"https://www.inaturalist.org/taxa/720851",
17402,"Chalcoparia singalensis assamensis","Kloss, 1930",,,,"Chalcoparia singalensis",9195,22237,"https://www.inaturalist.org/taxa/720852",
17411,"Chalcoparia singalensis bantenensis","(Hoogerwerf, 1967)",,,,"Chalcoparia singalensis",9195,22238,"https://www.inaturalist.org/taxa/720853",
17410,"Chalcoparia singalensis borneana","Kloss, 1921",,,,"Chalcoparia singalensis",9195,22239,"https://www.inaturalist.org/taxa/720854",
17404,"Chalcoparia singalensis internota","(Deignan, 1955)",,,,"Chalcoparia singalensis",9195,22240,"https://www.inaturalist.org/taxa/720855",
17405,"Chalcoparia singalensis interposita","Robinson & Kloss, 1921",,,,"Chalcoparia singalensis",9195,22241,"https://www.inaturalist.org/taxa/720856",
17403,"Chalcoparia singalensis koratensis","Kloss, 1918",,,,"Chalcoparia singalensis",9195,22242,"https://www.inaturalist.org/taxa/720857",
17409,"Chalcoparia singalensis pallida","Chasen, 1935",,,,"Chalcoparia singalensis",9195,22243,"https://www.inaturalist.org/taxa/720858",
17408,"Chalcoparia singalensis panopsia","Oberholser, 1912",,,,"Chalcoparia singalensis",9195,22244,"https://www.inaturalist.org/taxa/720859",
17412,"Chalcoparia singalensis phoenicotis","(Temminck, 1822)",,,,"Chalcoparia singalensis",9195,22245,"https://www.inaturalist.org/taxa/720860",
17406,"Chalcoparia singalensis singalensis","(Gmelin, JF, 1789)",,,,"Chalcoparia singalensis",9195,22246,"https://www.inaturalist.org/taxa/720861",
17407,"Chalcoparia singalensis sumatrana","Kloss, 1921",,,,"Chalcoparia singalensis",9195,22247,"https://www.inaturalist.org/taxa/720862",
